               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.032589,           0.0065922,                   0,             0.92147,             0.68421,             0.80059,             0.34272,            0.043654,           0.0080133,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.031174,            0.006451,                   0,             0.92686,             0.65789,             0.79258,             0.35661,            0.043883,           0.0077814,                   0,            0.006238,            0.006238,            0.006238
                  40,             0.02927,              0.0066,                   0,             0.86422,             0.67544,             0.74927,             0.31787,            0.045228,           0.0079619,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.030829,           0.0062974,                   0,             0.95019,             0.66936,             0.78025,              0.3502,              0.0433,           0.0079903,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.030579,           0.0066363,                   0,             0.84016,              0.7193,             0.78531,             0.31324,            0.046864,            0.007977,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.030057,           0.0061504,                   0,             0.88133,             0.75439,             0.82155,             0.34772,            0.044005,           0.0078018,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.030154,           0.0066332,                   0,              0.8907,             0.78634,             0.81044,             0.35681,            0.043145,           0.0076756,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.028743,           0.0066808,                   0,             0.93253,             0.72746,             0.81225,             0.34831,            0.045127,           0.0077949,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029756,           0.0063451,                   0,             0.91989,             0.76316,             0.81631,             0.33834,            0.043536,           0.0076746,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029746,           0.0066872,                   0,             0.94689,              0.7193,             0.82963,             0.34456,            0.044189,           0.0076748,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.027985,           0.0066812,                   0,             0.91152,             0.74561,             0.82071,             0.36804,             0.04283,           0.0076963,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.028251,           0.0065294,                   0,             0.87299,             0.78384,             0.82702,             0.32309,            0.043324,           0.0075803,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028797,           0.0066141,                   0,             0.82741,             0.75696,             0.79439,             0.33298,            0.043498,           0.0076571,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028545,           0.0061476,                   0,             0.82314,             0.74561,             0.77988,             0.33995,            0.044849,           0.0077399,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.027502,           0.0060253,                   0,             0.86817,             0.75103,             0.79118,             0.35814,            0.044049,           0.0077326,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.026836,           0.0060235,                   0,             0.86803,             0.74561,             0.79502,             0.35467,            0.043554,           0.0078012,                   0,            0.004852,            0.004852,            0.004852
